GET /account2/index.php HTTP/1.1

HTTP headers:
Host: idm.munongdan.pro
Connection: keep-alive
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8
User-Agent: Mozilla/5.0 (Linux; Android 4.4.4; SAMSUNG-SM-N900A Build/tt) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36
Referer: http://idm.munongdan.pro/account2/dangnhap.php?token=vinhphuong2017&loginkey=RTZNNTVFS0QzOEtKTERTV0Y=
Accept-Encoding: gzip,deflate
Accept-Language: vi-VN,en-US;q=0.8
Cookie: PHPSESSID=32e6dj6mqbsgvvboetj9aea5e7
X-Requested-With: furyteam.mu4vnn.siamgame.ggplay.qjmz

Response body:

